Item,Amount,Date,Category,Tags
Coffee,4.50,2026-07-01,Food,"morning,drink"
Client lunch,38.20,2026-07-02,Food,"client,team"
Taxi to airport,26.00,2026-07-03,Travel,"work,urgent"
Notebook set,12.99,2026-07-04,Office,"supplies"
Flight to Chicago,412.00,2026-07-05,Travel,"work,flight"
Hotel - 2 nights,298.50,2026-07-06,Travel,"work,lodging"
Team dinner,145.75,2026-07-07,Food,"team,celebration"
Printer ink,34.20,2026-07-08,Office,"supplies"
Monitor stand,59.99,2026-07-09,Office,"equipment"
Uber to client site,18.40,2026-07-10,Travel,"client"
Software subscription,29.00,2026-07-11,Software,"monthly,tools"
Cloud hosting,89.00,2026-07-12,Software,"monthly,infra"
Breakfast meeting,22.10,2026-07-13,Food,"client"
Parking fee,15.00,2026-07-14,Travel,"work"
Desk chair,189.00,2026-07-15,Office,"equipment,furniture"
API monitoring tool,49.00,2026-07-16,Software,"monthly,tools"
Coffee,4.50,2026-07-17,Food,"morning,drink"
Train ticket,64.30,2026-07-18,Travel,"work"
Conference ticket,350.00,2026-07-19,Travel,"conference,work"
Office snacks,27.85,2026-07-20,Food,"team"
Laptop charger,45.00,2026-07-21,Office,"equipment"
Design software license,59.99,2026-07-22,Software,"annual,tools"
Client gift,75.00,2026-07-23,Food,"client,gift"
Rideshare home,12.20,2026-07-24,Travel,"work"
Whiteboard markers,9.50,2026-07-25,Office,"supplies"
